holding_id,portfolio_id,ticker,quantity,purchase_price,current_value
H000073,P968621,MSFT,26.42,271.32,11214.95
H000074,P968621,MSFT,272.01,302.12,71273.97
H000075,P968621,TSLA,164.24,476.97,59009.5
H000076,P968621,AAPL,440.95,323.53,57717.21
H000077,P968621,VTI,993.05,259.9,300658.36
H000078,P968621,IVV,623.83,317.35,225008.83
H000079,P834010,GOOGL,44.01,142.51,10696.03
H000080,P834010,IVV,402.85,468.24,149684.42
H000081,P834010,TSLA,518.85,194.95,226823.47
H000082,P834010,GOOGL,483.52,349.72,70008.35
H000083,P834010,IVV,41.96,333.14,11239.01
H000084,P834010,AAPL,158.34,318.55,22603.33
H000085,P834010,GOOGL,932.25,188.21,207868.43
H000086,P834010,SPY,616.39,295.43,84543.36
H000087,P436119,AAPL,924.51,79.53,325390.99
H000088,P436119,GOOGL,625.37,339.1,62550.68
H000089,P436119,AAPL,405.17,495.64,68442.76
H000090,P436119,TSLA,674.85,342.36,191128.23
H000091,P514941,AAPL,32.36,485.59,7477.19
H000092,P514941,AMZN,917.83,381.06,97699.15
H000093,P514941,AMZN,971.1,60.2,95189.76
H000094,P514941,IVV,457.25,111.9,78881.45
H000095,P514941,GOOGL,88.59,387.49,23452.07
H000096,P514941,AMZN,667.7,429.07,210760.43
H000097,P514941,GOOGL,273.81,372.61,67468.26
H000098,P514941,IVV,51.94,193.97,13012.49
H000099,P514941,VTI,83.28,254.57,14821.22
H000100,P514941,GOOGL,850.45,361.48,64033.69
H000101,P130499,AMZN,898.55,351.29,174108.31
H000102,P130499,AMZN,411.36,252.38,53107.53
H000103,P130499,VTI,349.68,218.48,106825.7
H000104,P130499,IVV,378.98,50.83,63513.5
H000105,P130499,IVV,412.15,346.55,85134.61
H000106,P130499,MSFT,815.45,115.15,154990.58
H000107,P406499,AMZN,886.31,300.45,68848.91
H000108,P406499,GOOGL,675.04,174.23,144823.16
H000109,P406499,IVV,407.47,190.0,47241.91
H000110,P406499,AAPL,213.85,188.0,46531.02
H000111,P406499,SPY,607.21,180.48,207666.99
H000112,P406499,SPY,418.4,149.11,25681.16
H000113,P406499,IVV,648.26,475.7,323721.68
H000114,P406499,MSFT,45.97,378.19,14509.94
H000115,P970059,MSFT,486.0,104.69,88522.28
H000116,P970059,GOOGL,909.37,415.62,261714.17
H000117,P970059,IVV,680.45,231.57,228066.3
H000118,P970059,AAPL,893.72,336.96,181230.11
H000119,P970059,SPY,56.1,157.16,15189.35
H000120,P970059,AAPL,604.77,164.25,203850.9
H000121,P532608,SPY,655.24,207.04,218897.09
H000122,P532608,TSLA,19.6,220.5,6864.07
H000123,P532608,SPY,865.73,204.41,272845.37
H000124,P532608,VTI,663.59,476.42,294731.21
H000125,P532608,GOOGL,854.46,296.17,84675.16
H000126,P574667,TSLA,324.96,426.94,105671.37
H000127,P574667,TSLA,497.3,371.53,208287.17
H000128,P574667,VTI,391.73,396.64,77347.18
H000129,P574667,TSLA,658.61,75.4,234751.28
H000130,P574667,AMZN,691.1,441.98,277687.74
H000131,P574667,GOOGL,797.15,86.08,364710.09
H000132,P574667,AMZN,73.64,445.98,34516.96
H000133,P656897,GOOGL,581.95,438.26,100081.88
H000134,P656897,MSFT,827.62,118.86,312558.31
H000135,P656897,VTI,406.66,189.4,33649.48
H000136,P656897,MSFT,165.07,56.84,54872.22
H000137,P656897,AMZN,721.02,65.45,186856.07
H000138,P656897,GOOGL,253.84,169.59,84919.79
H000139,P656897,AAPL,27.87,209.85,10694.74
H000140,P656897,AAPL,670.64,283.08,281359.53
H000141,P108176,MSFT,110.01,269.22,22072.3
H000142,P108176,GOOGL,677.63,314.54,185699.21
H000143,P108176,AMZN,849.56,467.79,76588.06
H000144,P376119,VTI,943.89,149.84,66218.72
H000145,P376119,AMZN,104.93,278.16,5508.7
H000146,P376119,AMZN,586.04,82.68,100756.82
H000147,P376119,GOOGL,811.87,158.7,126539.42
H000148,P376119,AAPL,371.74,440.04,115068.02
H000149,P376119,IVV,860.12,251.15,374094.51
H000150,P376119,SPY,298.44,478.29,110143.46
H000151,P376119,GOOGL,923.92,137.69,93876.55
H000152,P376119,GOOGL,607.22,470.2,70768.46
H000153,P340982,MSFT,917.07,252.01,255979.57
H000154,P340982,IVV,896.54,267.83,121352.17
H000155,P340982,SPY,399.96,178.0,49167.82
H000156,P340982,SPY,801.32,411.7,360663.8
H000157,P340982,MSFT,98.26,60.63,24637.74
H000158,P340982,MSFT,548.06,389.08,174455.2
H000159,P340982,MSFT,58.87,474.07,25662.88
H000160,P340982,SPY,199.06,279.55,34991.19
H000161,P340982,MSFT,188.33,159.77,83774.94
H000162,P815711,AMZN,438.03,150.44,28492.11
H000163,P815711,MSFT,613.69,347.91,35597.4
H000164,P815711,AAPL,982.57,371.18,202401.12
H000165,P815711,GOOGL,650.4,99.8,66817.5
H000166,P815711,TSLA,211.9,58.54,13499.49
H000167,P815711,GOOGL,813.03,152.92,104257.94
H000168,P815711,GOOGL,236.27,174.03,102046.38
H000169,P272102,GOOGL,821.47,166.45,218586.32
H000170,P272102,TSLA,246.25,342.42,57625.52
H000171,P272102,AAPL,365.49,354.27,43652.69
H000172,P272102,VTI,96.59,215.53,34591.72
H000173,P272102,SPY,775.02,370.31,113259.84
H000174,P272102,MSFT,738.98,70.06,206533.15
H000175,P272102,SPY,526.69,135.49,234286.7
H000176,P838105,AAPL,995.35,268.53,414786.24
H000177,P838105,AMZN,32.93,159.87,15807.55
H000178,P838105,IVV,350.75,481.17,93446.96
H000179,P838105,AMZN,276.13,472.84,44888.36
H000180,P838105,TSLA,358.38,222.1,165085.99
H000181,P838105,TSLA,938.56,326.86,469013.01
H000182,P838105,AMZN,706.35,422.29,82296.03
H000183,P714987,VTI,659.6,171.33,247275.73
H000184,P714987,AMZN,719.84,287.4,224512.18
H000185,P714987,GOOGL,837.21,425.14,110953.63
H000186,P527869,SPY,231.06,352.1,23291.33
H000187,P527869,IVV,442.0,51.56,219825.29
H000188,P527869,SPY,919.08,213.07,433247.91
H000189,P994362,MSFT,992.5,268.87,330963.74
H000190,P994362,SPY,163.58,236.78,27997.37
H000191,P994362,AMZN,441.76,159.43,74885.53
H000192,P994362,MSFT,997.44,275.6,431527.6
H000193,P890748,IVV,121.44,134.53,50806.32
H000194,P890748,SPY,560.73,400.94,122307.94
H000195,P890748,IVV,116.93,372.39,45002.03
H000196,P164591,VTI,326.36,330.92,143068.83
H000197,P164591,SPY,43.87,409.73,8883.93
H000198,P164591,SPY,523.39,112.12,58553.06
H000199,P100911,AMZN,303.01,274.25,138216.3
H000200,P100911,VTI,536.58,205.93,46443.97
H000201,P100911,VTI,379.22,114.03,143342.24
H000202,P100911,TSLA,484.18,222.2,183522.85
H000203,P100911,MSFT,727.46,333.92,253236.96
H000204,P100911,IVV,338.34,473.24,147886.34
H000205,P100911,MSFT,227.83,331.82,106620.7
H000206,P100911,AAPL,694.02,91.87,122845.01
H000207,P100911,IVV,591.79,98.45,127724.14
H000208,P100911,AMZN,942.44,494.98,220404.26
H000209,P810326,AMZN,984.0,492.38,234658.57
H000210,P810326,MSFT,812.32,122.55,241484.92
H000211,P810326,TSLA,215.85,405.58,95643.63
H000212,P848543,IVV,434.27,150.51,30140.96
H000213,P848543,IVV,180.42,150.24,48572.93
H000214,P848543,IVV,123.4,96.98,34397.48
H000215,P848543,MSFT,838.64,302.62,122935.22
H000216,P848543,VTI,290.63,218.42,26079.55
H000217,P848543,GOOGL,430.19,255.19,99860.05
H000218,P848543,AAPL,724.99,213.44,51817.62
H000219,P496697,GOOGL,542.91,76.31,183517.59
H000220,P496697,VTI,444.05,61.12,35135.81
H000221,P496697,AMZN,262.52,395.28,65690.64
H000222,P496697,VTI,139.98,77.82,16975.37
H000223,P496697,SPY,57.3,498.34,24240.05
H000224,P496697,TSLA,477.7,169.71,175659.83
H000225,P185824,GOOGL,748.12,489.35,301639.38
H000226,P185824,AMZN,167.59,202.7,34048.98
H000227,P185824,IVV,953.87,389.13,298679.72
H000228,P185824,MSFT,946.49,103.07,95605.71
H000229,P185824,AMZN,914.72,337.27,292078.38
H000230,P882835,AMZN,123.78,330.32,13245.6
H000231,P882835,MSFT,528.07,277.03,188826.92
H000232,P882835,SPY,639.35,369.71,36668.1
H000233,P882835,AMZN,792.06,174.55,120653.96
H000234,P882835,MSFT,994.01,209.9,197058.69
H000235,P882835,VTI,779.79,310.53,259671.03
H000236,P882835,AMZN,54.55,187.97,18452.42
H000237,P514851,GOOGL,96.99,163.1,45094.54
H000238,P514851,AAPL,738.78,213.9,369044.45
H000239,P514851,VTI,753.28,324.89,127947.06
H000240,P514851,AAPL,381.87,247.2,168020.82
H000241,P526413,AMZN,931.97,437.94,77162.58
H000242,P526413,VTI,973.51,388.21,410350.37
H000243,P526413,TSLA,903.28,434.25,81119.97
H000244,P526413,GOOGL,789.58,170.41,239845.96
H000245,P869514,SPY,674.91,61.96,271662.62
H000246,P869514,IVV,716.94,107.94,337954.05
H000247,P869514,IVV,412.58,145.82,144176.73
H000248,P869514,AAPL,860.52,266.58,51118.26
H000249,P715324,GOOGL,732.74,259.5,344487.6
H000250,P715324,MSFT,890.59,231.27,103800.82
H000251,P715324,AAPL,144.38,172.32,39327.69
H000252,P715324,MSFT,239.82,52.62,63944.58
H000253,P715324,AAPL,152.1,277.7,23799.52
H000254,P715324,AMZN,497.87,426.4,134120.12
H000255,P715324,IVV,824.32,403.78,82382.48
H000256,P715324,VTI,675.44,489.82,252742.74
H000257,P715324,SPY,948.76,159.61,384626.58
H000258,P715324,VTI,277.71,399.89,82342.47
H000259,P225901,AMZN,76.62,238.98,37507.18
H000260,P225901,MSFT,560.1,274.73,63403.39
H000261,P225901,TSLA,327.42,397.79,75104.84
H000262,P608378,TSLA,285.37,406.04,62642.86
H000263,P608378,MSFT,850.58,466.24,50432.83
H000264,P608378,AAPL,981.25,187.59,54473.42
H000265,P811360,IVV,173.55,499.52,48492.46
H000266,P811360,AMZN,145.83,455.94,68970.98
H000267,P811360,AMZN,707.98,67.54,334327.8
H000268,P811360,GOOGL,389.84,147.76,114038.52
H000269,P135096,AMZN,736.54,305.09,92523.5
H000270,P135096,AAPL,140.6,143.2,46450.25
H000271,P135096,TSLA,299.38,57.73,138922.0
H000272,P135096,AMZN,646.17,380.33,117961.26
H000273,P135096,IVV,212.2,238.5,20408.88
H000274,P135096,AMZN,556.05,353.18,66030.5
H000275,P135096,AMZN,306.8,282.18,119033.23
H000276,P135096,IVV,354.79,164.87,120949.77
H000277,P135096,IVV,553.13,182.31,88703.3
H000278,P145834,GOOGL,134.27,398.39,50529.99
H000279,P145834,MSFT,860.44,198.0,388897.1
H000280,P145834,IVV,443.84,281.97,167620.7
H000281,P145834,TSLA,883.81,335.3,207939.16
H000282,P145834,MSFT,327.69,191.87,81285.15
H000283,P211855,AMZN,933.29,385.19,94444.94
H000284,P211855,SPY,197.85,66.88,82032.0
H000285,P211855,SPY,891.18,132.57,313569.96
H000286,P211855,GOOGL,118.97,343.24,44543.39
H000287,P211855,MSFT,934.1,434.0,421435.42
H000288,P211855,GOOGL,11.06,104.49,821.97
H000289,P211855,GOOGL,63.31,496.34,23414.78
H000290,P211855,AMZN,750.72,258.68,237212.74
H000291,P211855,IVV,861.03,371.39,206749.11
H000292,P558602,SPY,510.33,276.05,236083.22
H000293,P558602,TSLA,81.31,100.92,10026.78
H000294,P558602,AAPL,267.66,468.53,51156.35
H000295,P558602,AAPL,133.01,363.67,31801.39
H000296,P558602,TSLA,751.9,208.51,325653.39
H000297,P558602,AMZN,996.1,239.52,297561.1
H000298,P558602,MSFT,890.62,413.91,244945.7
H000299,P341129,VTI,290.07,76.05,48232.71
H000300,P341129,SPY,461.52,205.32,129207.72
H000301,P341129,AAPL,245.43,82.52,118028.61
H000302,P341129,AMZN,884.34,366.8,132570.82
H000303,P341129,IVV,684.09,445.81,284942.24
H000304,P341129,VTI,188.32,376.1,25744.66
H000305,P341129,MSFT,855.33,73.03,61078.21
H000306,P341129,AMZN,392.08,117.64,27090.7
H000307,P341129,SPY,592.59,413.94,279689.66
H000308,P107108,IVV,863.81,186.46,158663.06
H000309,P107108,SPY,458.09,336.8,214190.59
H000310,P107108,GOOGL,478.2,193.53,161833.73
H000311,P107108,MSFT,547.83,343.47,36619.14
H000312,P107108,AAPL,201.2,127.92,76981.8
H000313,P107108,GOOGL,26.77,351.98,4355.2
H000314,P107108,TSLA,570.33,349.94,140955.55
H000315,P107108,TSLA,285.74,483.04,61125.1
H000316,P107108,AMZN,989.74,465.78,240607.95
H000317,P107108,TSLA,331.92,294.35,57334.81
H000318,P384934,VTI,522.87,338.12,161592.22
H000319,P384934,IVV,774.38,128.01,90736.79
H000320,P384934,AMZN,387.81,177.84,98501.3
H000321,P384934,AMZN,716.67,228.25,347561.54
H000322,P384934,IVV,904.31,240.41,434316.16
H000323,P384934,SPY,848.25,174.2,83298.05
H000324,P384934,AAPL,212.51,384.44,12112.09
H000325,P384934,AAPL,205.82,155.98,93867.64
H000326,P417635,TSLA,244.13,391.39,54322.0
H000327,P417635,MSFT,24.68,127.14,3909.05
H000328,P417635,GOOGL,749.64,398.99,351725.55
H000329,P417635,MSFT,726.25,206.48,145054.42
H000330,P417635,AAPL,398.55,396.9,186611.2
H000331,P417635,VTI,797.07,178.28,102506.11
H000332,P417635,IVV,997.07,243.53,318061.86
H000333,P417635,TSLA,383.04,382.84,188666.22
H000334,P205352,IVV,46.28,470.45,6300.8
H000335,P205352,AAPL,880.79,175.64,277739.62
H000336,P205352,IVV,311.96,383.31,119338.82
H000337,P205352,MSFT,412.22,326.43,106998.3
H000338,P205352,AMZN,885.99,434.64,316075.03
H000339,P205352,GOOGL,472.21,265.56,55366.06
H000340,P205352,GOOGL,509.13,103.84,56052.72
H000341,P205352,MSFT,911.76,116.97,318946.3
H000342,P892088,SPY,488.87,198.14,48162.32
H000343,P892088,GOOGL,950.36,462.41,107046.15
H000344,P892088,AAPL,363.57,154.99,51830.21
H000345,P892088,AAPL,291.72,79.68,80182.39
H000346,P892088,VTI,453.09,294.14,150990.43
H000347,P736121,TSLA,790.31,123.66,150781.06
H000348,P736121,AMZN,676.7,307.63,285186.22
H000349,P736121,SPY,554.86,290.22,231008.53
H000350,P736121,MSFT,686.29,372.77,297537.23
H000351,P736121,GOOGL,449.69,341.29,109258.83
H000352,P736121,GOOGL,727.05,149.78,101153.02
H000353,P173494,SPY,916.97,387.53,250729.75
H000354,P173494,AMZN,792.56,262.43,200103.93
H000355,P173494,GOOGL,502.93,479.64,233059.59
H000356,P173494,AAPL,963.12,379.66,82101.26
H000357,P178823,AMZN,338.21,224.9,67457.74
H000358,P178823,VTI,259.58,78.62,68313.48
H000359,P178823,MSFT,958.67,131.67,462284.07
H000360,P178823,GOOGL,710.94,352.29,243135.04
H000361,P178823,VTI,20.29,64.26,2167.5
H000362,P178823,AMZN,209.52,261.2,45527.02
H000363,P178823,MSFT,424.59,269.47,189578.24
H000364,P815724,AMZN,595.06,196.88,161536.9
H000365,P815724,MSFT,538.58,95.23,158023.41
H000366,P815724,GOOGL,204.02,495.98,27584.8
H000367,P815724,GOOGL,525.67,266.38,250148.62
H000368,P355872,VTI,132.91,101.59,12496.77
H000369,P355872,GOOGL,133.99,445.56,59728.9
H000370,P355872,GOOGL,215.43,253.76,77529.0
H000371,P209083,TSLA,837.32,388.64,154873.21
H000372,P209083,AMZN,427.24,253.14,171520.21
H000373,P209083,VTI,420.42,288.67,91182.07
H000374,P209083,AMZN,951.66,104.77,463454.87
H000375,P209083,AMZN,271.65,376.95,39815.23
H000376,P209083,GOOGL,821.83,125.31,91381.83
H000377,P209083,AAPL,448.19,202.95,171275.48
H000378,P209083,MSFT,406.95,472.66,25382.64
H000379,P209083,GOOGL,337.62,311.2,47766.93
H000380,P209083,AMZN,619.1,417.98,98638.37
H000381,P507086,AAPL,476.73,312.89,46491.68
H000382,P507086,VTI,314.84,119.94,96378.27
H000383,P507086,AAPL,147.05,152.8,64705.4
H000384,P507086,GOOGL,477.5,299.68,42233.92
H000385,P507086,VTI,122.86,339.05,50719.9
H000386,P187741,SPY,80.3,202.59,24057.1
H000387,P187741,AMZN,212.27,61.77,71247.81
H000388,P187741,IVV,79.94,72.99,21521.1
H000389,P187741,SPY,857.75,488.97,344560.01
H000390,P187741,TSLA,140.99,340.89,44608.84
H000391,P187741,VTI,767.55,153.9,132926.48
H000392,P187741,SPY,681.78,336.7,219075.65
H000393,P187741,SPY,760.9,126.99,208442.98
H000394,P187741,IVV,890.85,363.24,435311.91
H000395,P187741,MSFT,695.64,190.22,219919.75
H000396,P247258,AAPL,475.16,266.26,81333.53
H000397,P247258,AMZN,559.21,292.2,219355.37
H000398,P247258,MSFT,879.55,387.94,48048.74
H000399,P247258,TSLA,104.15,298.34,10792.66
H000400,P247258,AMZN,105.83,239.61,31735.64
H000401,P247258,TSLA,837.22,396.72,390972.75
H000402,P543558,MSFT,815.33,462.83,123974.44
H000403,P543558,TSLA,358.93,426.85,38481.93
H000404,P543558,AAPL,178.88,401.0,57890.22
H000405,P543558,AAPL,548.63,225.94,217986.85
H000406,P543558,TSLA,283.27,124.13,66547.67
H000407,P543558,VTI,42.96,110.73,3879.88
H000408,P543558,IVV,56.0,237.14,16785.07
H000409,P543558,VTI,858.63,427.74,64153.35
H000410,P543558,MSFT,914.34,240.25,427571.03
H000411,P543558,GOOGL,889.55,294.35,129402.22
H000412,P206915,IVV,708.38,488.01,215428.92
H000413,P206915,GOOGL,50.99,350.7,6866.69
H000414,P206915,AMZN,614.44,337.0,167086.87
H000415,P206915,MSFT,225.16,280.27,100058.26
H000416,P206915,VTI,168.98,251.36,58594.02
H000417,P206915,SPY,909.68,205.83,430865.95
H000418,P206915,SPY,451.07,363.15,181797.81
H000419,P206915,IVV,772.89,416.89,238485.25
H000420,P206915,MSFT,783.73,477.91,90268.66
H000421,P206915,TSLA,244.24,124.78,61095.66
H000422,P579228,AAPL,399.16,302.37,81893.33
H000423,P579228,VTI,113.57,174.68,18423.66
H000424,P579228,AAPL,887.23,52.75,295612.74
H000425,P579228,AAPL,584.68,73.09,146602.29
H000426,P579228,TSLA,315.95,484.08,154201.97
H000427,P579228,AAPL,600.38,350.69,135344.98
H000428,P579228,TSLA,956.72,340.75,55423.13
H000429,P579228,MSFT,65.67,68.64,23215.78
H000430,P669936,AMZN,750.95,108.51,142702.21
H000431,P669936,MSFT,723.63,345.52,155753.06
H000432,P669936,AMZN,98.19,74.68,34037.82
H000433,P669936,MSFT,319.62,400.91,78435.98
H000434,P669936,GOOGL,584.15,312.79,157206.59
H000435,P669936,IVV,424.62,309.6,188814.7
H000436,P669936,SPY,648.54,319.67,149328.55
H000437,P603147,VTI,845.52,50.86,389070.46
H000438,P603147,GOOGL,245.22,81.3,69192.61
H000439,P603147,MSFT,609.01,233.54,170469.37
H000440,P243357,VTI,465.74,444.98,218924.98
H000441,P243357,VTI,94.93,416.67,22881.96
H000442,P243357,IVV,118.05,87.41,49895.02
H000443,P243357,TSLA,95.05,421.85,11795.74
H000444,P243357,IVV,611.8,66.2,182201.56
H000445,P243357,TSLA,99.07,478.33,7440.39
H000446,P176876,SPY,914.13,143.65,311626.48
H000447,P176876,AMZN,645.33,233.85,191316.91
H000448,P176876,VTI,728.26,84.83,281990.81
H000449,P836447,AAPL,88.96,62.74,33182.35
H000450,P836447,AMZN,252.94,232.7,112349.97
H000451,P836447,AMZN,921.01,476.84,112913.2
H000452,P836447,AAPL,245.23,331.44,18005.07
H000453,P836447,SPY,815.81,51.19,201723.17
H000454,P836447,TSLA,804.13,297.6,213971.33
H000455,P836447,GOOGL,528.07,144.52,94861.28
H000456,P836447,MSFT,267.14,167.56,89246.76
H000457,P836447,TSLA,775.82,190.68,120980.16
H000458,P836447,VTI,863.28,316.27,259504.61
H000459,P903952,AAPL,11.01,282.93,4342.82
H000460,P903952,IVV,37.59,193.87,13229.49
H000461,P903952,AMZN,360.41,50.31,178310.28
H000462,P903952,TSLA,937.41,475.65,390705.96
H000463,P903952,IVV,114.94,100.81,14436.78
H000464,P903952,AMZN,667.54,234.42,154505.98
H000465,P903952,GOOGL,294.31,299.76,22082.1
H000466,P903952,GOOGL,139.4,136.17,68095.88
H000467,P903952,IVV,78.76,189.74,19162.72
H000468,P349233,VTI,823.82,404.82,48441.58
H000469,P349233,SPY,472.92,63.44,195782.35
H000470,P349233,AAPL,402.37,374.81,23869.97
H000471,P349233,AMZN,501.17,296.43,151080.97
H000472,P349233,MSFT,135.36,411.71,27441.44
H000473,P349233,GOOGL,618.96,437.69,294598.17
H000474,P349233,VTI,977.26,53.26,257193.19
H000475,P349233,MSFT,20.44,120.27,4047.96
H000476,P652050,IVV,276.57,328.09,97072.34
H000477,P652050,AAPL,713.45,262.56,231906.12
H000478,P652050,SPY,95.69,298.88,12854.72
H000479,P652050,IVV,631.89,351.74,186408.4
H000480,P652050,VTI,795.1,401.58,55944.49
H000481,P880520,VTI,12.41,367.74,1829.98
H000482,P880520,SPY,295.0,325.18,106449.45
H000483,P880520,VTI,878.32,285.09,249590.41
H000484,P880520,MSFT,606.29,337.04,74505.56
H000485,P451345,VTI,366.5,310.65,159023.34
H000486,P451345,AAPL,649.04,190.36,304087.05
H000487,P451345,VTI,401.9,278.16,87516.27
H000488,P451345,IVV,54.96,347.82,16099.56
H000489,P451345,TSLA,935.63,473.63,395215.66
H000490,P661494,IVV,505.02,120.79,244289.62
H000491,P661494,AAPL,65.07,418.06,8269.63
H000492,P661494,MSFT,539.7,442.33,266484.93
H000493,P661494,IVV,973.97,130.75,65900.32
H000494,P661494,SPY,465.01,448.58,167285.21
H000495,P661494,AMZN,417.54,163.27,23099.16
H000496,P133409,GOOGL,847.55,255.68,245292.54
H000497,P133409,GOOGL,493.83,158.6,176865.38
H000498,P133409,VTI,102.17,425.52,31518.42
H000499,P133409,AMZN,151.89,100.73,38003.16
H000500,P133409,SPY,925.31,339.12,255642.93
H000501,P746519,VTI,737.63,108.47,101000.87
H000502,P746519,VTI,345.65,439.03,136663.71
H000503,P746519,IVV,742.82,457.6,289800.93
H000504,P746519,MSFT,964.3,141.35,260141.35
H000505,P746519,GOOGL,595.61,237.84,47297.5
H000506,P746519,MSFT,501.16,227.13,240501.71
H000507,P372001,MSFT,128.11,365.32,6647.13
H000508,P372001,IVV,743.55,468.44,277037.69
H000509,P372001,SPY,72.83,254.24,16781.37
H000510,P372001,GOOGL,488.16,151.12,51390.04
H000511,P372001,VTI,196.76,424.26,39918.72
H000512,P372001,IVV,873.76,180.8,244807.24
H000513,P372001,GOOGL,264.48,51.62,130519.05
H000514,P372001,MSFT,689.32,309.72,200298.32
H000515,P372001,SPY,431.37,499.18,97907.63
H000516,P634217,MSFT,514.26,240.07,102544.91
H000517,P634217,TSLA,728.54,65.57,176467.17
H000518,P634217,AMZN,70.66,197.49,4379.35
H000519,P634217,TSLA,216.1,174.69,86383.21
H000520,P894914,VTI,445.54,344.7,55464.22
H000521,P894914,AAPL,87.15,403.92,7063.3
H000522,P894914,AAPL,724.11,96.56,71681.15
H000523,P894914,AAPL,890.1,174.27,71901.23
H000524,P894914,TSLA,406.03,211.27,185233.0
H000525,P894914,IVV,164.7,118.52,29231.77
H000526,P721251,AMZN,982.38,260.89,162981.66
H000527,P721251,SPY,380.64,442.66,152736.47
H000528,P721251,GOOGL,699.72,408.96,160410.2
H000529,P721251,GOOGL,787.37,338.6,74792.62
H000530,P721251,AMZN,148.68,489.41,21396.02
H000531,P721251,MSFT,853.45,187.75,179472.69
H000532,P721251,GOOGL,953.5,207.54,240088.48
H000533,P940833,AAPL,876.89,239.14,46049.35
H000534,P940833,AAPL,44.77,472.12,9350.92
H000535,P940833,SPY,109.5,211.32,27103.62
H000536,P940833,AMZN,205.56,182.8,56296.72
H000537,P940833,IVV,994.53,223.8,472701.23
H000538,P940833,SPY,285.75,145.55,132480.48
H000539,P940833,MSFT,315.79,97.21,54796.77
H000540,P940833,VTI,697.8,88.2,321180.69
