portfolio_id,client_id,portfolio_name,total_value,currency,creation_date
P243357,35,Conservative Wealth Plan Portfolio,773129.96,CHF,2015-02-22
P176876,36,Dynamic Opportunities Portfolio,937082.91,EUR,2016-01-25
P836447,37,High-Yield Income Portfolio,310850.9,EUR,2023-06-09
P903952,37,Global Diversification Portfolio,405249.63,EUR,2023-03-22
P349233,37,High-Yield Income Portfolio,735286.99,CHF,2021-06-19
P652050,38,High-Yield Income Portfolio,952057.68,EUR,2017-12-01
P880520,39,Balanced Growth Portfolio,195157.77,USD,2015-10-13
P451345,39,Balanced Growth Portfolio,156235.12,EUR,2016-12-12
P661494,40,Conservative Wealth Plan Portfolio,659159.47,USD,2022-11-04
P133409,40,Dynamic Opportunities Portfolio,250600.65,EUR,2021-02-13
P746519,40,Sustainable Investment Portfolio,881658.83,CHF,2017-08-24
P372001,41,Dynamic Opportunities Portfolio,494057.42,USD,2023-08-10
P634217,42,Dynamic Opportunities Portfolio,654700.7,EUR,2018-07-26
P894914,42,High-Yield Income Portfolio,891735.35,CHF,2018-05-16
P721251,43,Balanced Growth Portfolio,805802.44,EUR,2016-07-12
P940833,43,Balanced Growth Portfolio,603812.06,USD,2015-07-01
P676963,43,Conservative Wealth Plan Portfolio,303092.13,USD,2019-01-16
P688872,44,Dynamic Opportunities Portfolio,358172.58,EUR,2016-10-07
P494152,44,Conservative Wealth Plan Portfolio,337071.52,CHF,2019-11-30
P168211,44,Balanced Growth Portfolio,626612.62,CHF,2016-08-23
P998178,45,Conservative Wealth Plan Portfolio,118873.51,EUR,2020-06-12
P563380,46,Sustainable Investment Portfolio,369483.05,CHF,2015-12-19
P468276,47,Conservative Wealth Plan Portfolio,974507.26,USD,2022-05-21
P832735,47,High-Yield Income Portfolio,402717.43,CHF,2023-03-24
P628873,48,High-Yield Income Portfolio,506500.23,USD,2018-01-15
P786666,48,Balanced Growth Portfolio,861829.69,EUR,2016-12-29
P853771,49,Global Diversification Portfolio,171787.52,USD,2024-01-26
P974752,50,High-Yield Income Portfolio,777737.53,CHF,2021-02-26
P271135,50,Balanced Growth Portfolio,446873.46,CHF,2023-04-04
P427742,51,Dynamic Opportunities Portfolio,690777.42,EUR,2017-04-28
P836738,52,High-Yield Income Portfolio,274421.17,EUR,2024-01-12
P816447,52,Dynamic Opportunities Portfolio,179453.63,CHF,2019-07-20
P724689,52,Balanced Growth Portfolio,994339.17,EUR,2015-01-26
P101842,53,Balanced Growth Portfolio,116915.73,CHF,2018-02-25
P395961,53,High-Yield Income Portfolio,767809.27,EUR,2024-07-11
P981856,54,Balanced Growth Portfolio,469470.39,CHF,2015-01-27
P980793,54,Balanced Growth Portfolio,295937.62,CHF,2024-05-05
P818985,54,High-Yield Income Portfolio,342458.85,EUR,2023-08-18
P261372,55,High-Yield Income Portfolio,632669.35,CHF,2020-08-22
P468225,56,Global Diversification Portfolio,371265.23,USD,2024-12-01
P956293,57,Global Diversification Portfolio,960927.82,CHF,2020-08-08
P692433,57,Balanced Growth Portfolio,364210.48,USD,2024-02-03
P551083,58,Sustainable Investment Portfolio,332771.33,EUR,2024-02-08
P637704,59,Dynamic Opportunities Portfolio,121570.19,USD,2021-03-24
P126844,59,Balanced Growth Portfolio,865647.31,USD,2022-02-06
P383795,59,Global Diversification Portfolio,198785.17,EUR,2015-01-02
P791622,60,Balanced Growth Portfolio,597160.21,EUR,2020-03-28
P639247,60,Sustainable Investment Portfolio,123152.49,EUR,2015-04-21
P818037,60,Global Diversification Portfolio,943795.73,USD,2018-06-10
P934136,61,Sustainable Investment Portfolio,336003.49,CHF,2017-10-01
P563847,62,Global Diversification Portfolio,586454.09,USD,2016-06-24
P120744,63,Conservative Wealth Plan Portfolio,843761.4,CHF,2019-02-22
P357762,63,Conservative Wealth Plan Portfolio,234772.8,CHF,2016-04-01
P252949,64,Dynamic Opportunities Portfolio,735681.64,EUR,2018-12-10
P176098,64,Sustainable Investment Portfolio,905611.48,USD,2019-04-10
P382794,64,Balanced Growth Portfolio,110666.83,USD,2018-02-01
P273983,65,Balanced Growth Portfolio,495965.29,EUR,2021-08-12
P736654,66,High-Yield Income Portfolio,535193.34,USD,2019-08-23
P536985,66,Global Diversification Portfolio,384430.67,EUR,2017-08-08
P934400,67,Global Diversification Portfolio,172277.97,EUR,2018-11-29
P429549,67,Sustainable Investment Portfolio,973067.61,EUR,2024-04-12
P669745,68,Conservative Wealth Plan Portfolio,677047.3,USD,2020-10-18
P320640,68,High-Yield Income Portfolio,929071.98,CHF,2022-12-10
P992345,68,High-Yield Income Portfolio,305285.01,CHF,2019-09-01
P897101,69,High-Yield Income Portfolio,631863.09,USD,2015-05-26
P990694,69,Conservative Wealth Plan Portfolio,207544.04,CHF,2016-05-23
P542858,69,High-Yield Income Portfolio,947729.5,EUR,2023-08-01
P719353,70,Dynamic Opportunities Portfolio,703410.48,USD,2015-01-14
P354662,70,Balanced Growth Portfolio,406649.24,USD,2019-10-30
P797089,71,Dynamic Opportunities Portfolio,270701.24,EUR,2014-12-30
P850845,71,Global Diversification Portfolio,696084.44,CHF,2018-03-31
P214465,72,Dynamic Opportunities Portfolio,570672.31,USD,2016-11-13
P732552,72,Global Diversification Portfolio,653247.76,USD,2015-12-16
P338087,73,Balanced Growth Portfolio,936641.46,EUR,2017-04-17
P134558,73,Dynamic Opportunities Portfolio,503600.26,USD,2021-11-04
P291706,73,Dynamic Opportunities Portfolio,256909.77,USD,2024-05-19
P516826,74,Global Diversification Portfolio,814920.63,CHF,2023-03-05
P685330,74,High-Yield Income Portfolio,592601.34,EUR,2022-08-07
P265352,74,Global Diversification Portfolio,75146.84,EUR,2019-02-06
P859211,75,Conservative Wealth Plan Portfolio,470480.92,EUR,2024-02-26
P821308,76,Sustainable Investment Portfolio,832319.82,EUR,2019-06-08
P857606,77,Global Diversification Portfolio,564243.91,CHF,2018-03-16
P420574,77,High-Yield Income Portfolio,643873.89,EUR,2021-01-25
P935198,77,Global Diversification Portfolio,869286.38,USD,2023-04-19
P583094,78,Dynamic Opportunities Portfolio,984815.68,EUR,2022-01-27
P160740,78,High-Yield Income Portfolio,481132.2,EUR,2023-05-22
P394683,78,Dynamic Opportunities Portfolio,213373.99,EUR,2022-06-10
P290274,79,Dynamic Opportunities Portfolio,228888.87,USD,2021-01-08
P259864,79,Dynamic Opportunities Portfolio,552442.98,CHF,2016-03-18
P250054,79,High-Yield Income Portfolio,221000.43,USD,2023-02-11
P248666,80,High-Yield Income Portfolio,258093.32,USD,2017-12-24
P736369,80,Global Diversification Portfolio,458697.66,EUR,2023-09-22
P306582,81,Sustainable Investment Portfolio,203150.53,USD,2019-01-23
P715480,81,High-Yield Income Portfolio,934863.84,EUR,2016-03-09
P471213,81,Balanced Growth Portfolio,502331.04,USD,2023-07-13
P260120,82,Global Diversification Portfolio,812889.53,USD,2021-07-22
P352510,83,Global Diversification Portfolio,993393.7,USD,2022-06-12
P441000,84,Balanced Growth Portfolio,554841.24,EUR,2020-03-01
P162916,84,High-Yield Income Portfolio,473631.75,EUR,2019-04-07
P722286,84,Sustainable Investment Portfolio,701636.55,USD,2024-10-24
P103646,85,Balanced Growth Portfolio,302891.04,CHF,2015-12-25
P998503,85,Balanced Growth Portfolio,475739.36,EUR,2017-06-27
P994611,85,Global Diversification Portfolio,64784.38,USD,2022-10-01
P563078,86,Sustainable Investment Portfolio,283873.32,USD,2018-11-19
P823399,86,Dynamic Opportunities Portfolio,181476.35,USD,2019-08-02
P724950,86,Sustainable Investment Portfolio,820347.14,CHF,2022-03-08
P860291,87,Dynamic Opportunities Portfolio,897693.86,CHF,2020-09-23
P330003,88,Balanced Growth Portfolio,831763.28,EUR,2022-10-21
P767161,88,Global Diversification Portfolio,889144.73,USD,2018-11-14
P690729,88,Balanced Growth Portfolio,330401.88,USD,2017-10-03
P610936,89,Dynamic Opportunities Portfolio,938179.4,USD,2020-03-10
P466702,90,Global Diversification Portfolio,101054.73,USD,2016-03-24
P481797,91,Conservative Wealth Plan Portfolio,284465.96,USD,2023-09-07
P785162,92,High-Yield Income Portfolio,217323.04,USD,2023-03-13
P938193,93,Conservative Wealth Plan Portfolio,357254.55,USD,2019-05-29
P574577,93,Conservative Wealth Plan Portfolio,520781.2,CHF,2022-06-12
P805836,93,Dynamic Opportunities Portfolio,343647.84,CHF,2015-10-20
P640248,94,Dynamic Opportunities Portfolio,361512.21,EUR,2017-03-12
P420063,94,Global Diversification Portfolio,620693.65,USD,2022-10-11
P265451,94,Balanced Growth Portfolio,750029.98,CHF,2021-03-23
P297825,95,Global Diversification Portfolio,893257.22,EUR,2015-06-16
P668386,95,Global Diversification Portfolio,844740.51,USD,2020-08-29
P144449,96,Dynamic Opportunities Portfolio,607255.99,USD,2020-12-03
P231999,96,Conservative Wealth Plan Portfolio,518677.64,USD,2023-08-04
P273894,97,Conservative Wealth Plan Portfolio,265687.05,EUR,2018-07-17
P448962,97,High-Yield Income Portfolio,305754.68,USD,2018-11-28
P611619,97,Dynamic Opportunities Portfolio,852093.41,EUR,2016-09-09
P170459,98,High-Yield Income Portfolio,991033.94,USD,2024-09-07
P484085,98,Conservative Wealth Plan Portfolio,106558.67,CHF,2023-01-13
P111821,99,Balanced Growth Portfolio,860300.97,CHF,2021-05-29
P571254,99,Conservative Wealth Plan Portfolio,407218.42,USD,2020-12-07
P260139,99,Balanced Growth Portfolio,344310.76,USD,2018-05-27
P564471,100,High-Yield Income Portfolio,897572.04,CHF,2019-05-16
P495021,101,High-Yield Income Portfolio,294379.68,CHF,2021-06-22
P698631,101,Balanced Growth Portfolio,167238.64,EUR,2020-01-11
P689828,102,Sustainable Investment Portfolio,275981.16,USD,2015-05-22
P936202,102,High-Yield Income Portfolio,970387.44,EUR,2016-12-21
P207545,102,Sustainable Investment Portfolio,912037.32,USD,2015-09-05
P829897,103,Conservative Wealth Plan Portfolio,484840.87,USD,2022-09-11
P666247,103,Sustainable Investment Portfolio,505668.53,EUR,2015-03-21
P708261,104,Balanced Growth Portfolio,536002.91,USD,2018-10-30
P687783,104,Global Diversification Portfolio,429351.11,USD,2023-02-14
P429568,105,Sustainable Investment Portfolio,907433.42,CHF,2020-08-11
P774120,105,High-Yield Income Portfolio,757833.32,EUR,2019-05-06
P685050,106,High-Yield Income Portfolio,85685.6,EUR,2019-12-03
P255378,106,Balanced Growth Portfolio,716053.48,CHF,2015-12-07
P793914,106,Sustainable Investment Portfolio,959604.96,EUR,2020-02-03
P721624,107,Balanced Growth Portfolio,346147.58,EUR,2016-04-11
P762770,108,Dynamic Opportunities Portfolio,111023.93,CHF,2019-01-19
P672366,108,Global Diversification Portfolio,157936.05,USD,2022-12-02
P601614,109,Dynamic Opportunities Portfolio,166205.92,EUR,2021-01-28
P917977,109,Conservative Wealth Plan Portfolio,296939.29,CHF,2024-10-07
P208847,110,Balanced Growth Portfolio,488273.83,USD,2016-07-24
P606583,110,High-Yield Income Portfolio,888678.6,USD,2024-08-23
P490789,110,Global Diversification Portfolio,105974.72,CHF,2021-10-12
P878100,111,Dynamic Opportunities Portfolio,870278.56,CHF,2022-03-09
P870404,111,Conservative Wealth Plan Portfolio,472772.79,CHF,2017-03-19
P212827,112,Dynamic Opportunities Portfolio,422896.96,CHF,2019-06-06
P883399,112,Sustainable Investment Portfolio,236226.07,USD,2021-08-08
P971200,113,Global Diversification Portfolio,607498.42,CHF,2023-04-24
P148687,113,Conservative Wealth Plan Portfolio,436054.52,EUR,2022-10-01
P965119,113,Dynamic Opportunities Portfolio,892710.45,EUR,2015-12-18
P777076,114,Dynamic Opportunities Portfolio,753835.75,CHF,2016-05-27
P393918,114,Conservative Wealth Plan Portfolio,68798.79,EUR,2018-02-19
P641728,115,High-Yield Income Portfolio,195590.51,USD,2017-11-14
P663509,116,Global Diversification Portfolio,827418.03,CHF,2022-01-01
P650054,117,High-Yield Income Portfolio,209703.87,USD,2023-08-24
P727173,117,Balanced Growth Portfolio,637026.15,USD,2024-12-07
P994312,117,Balanced Growth Portfolio,667113.1,CHF,2024-01-16
P602374,118,High-Yield Income Portfolio,508623.24,USD,2020-04-20
P324562,118,High-Yield Income Portfolio,615500.16,USD,2016-08-25
P833624,118,Global Diversification Portfolio,404673.47,USD,2019-12-25
P726812,119,Sustainable Investment Portfolio,685014.65,EUR,2021-04-15
P583197,119,Dynamic Opportunities Portfolio,366689.57,CHF,2016-12-17
P777401,120,High-Yield Income Portfolio,636314.85,EUR,2024-03-07
P395389,120,Global Diversification Portfolio,776552.64,EUR,2022-12-08
P848073,121,High-Yield Income Portfolio,232276.16,EUR,2020-07-21
P468323,121,High-Yield Income Portfolio,330592.11,CHF,2017-06-11
P933518,122,Dynamic Opportunities Portfolio,823792.38,CHF,2023-11-17
P523371,122,Sustainable Investment Portfolio,494104.19,EUR,2015-03-04
P787296,122,Sustainable Investment Portfolio,127246.15,CHF,2016-06-12
P786965,123,Sustainable Investment Portfolio,295119.44,EUR,2022-08-24
P437918,124,Global Diversification Portfolio,105475.23,CHF,2022-04-09
P211651,124,Global Diversification Portfolio,572244.19,USD,2023-01-24
P377855,125,Dynamic Opportunities Portfolio,389727.43,USD,2015-12-12
P269978,126,Sustainable Investment Portfolio,346673.28,CHF,2019-10-18
P506814,126,Global Diversification Portfolio,982916.36,CHF,2021-09-13
P240892,126,Dynamic Opportunities Portfolio,209150.96,CHF,2020-01-23
P360305,127,High-Yield Income Portfolio,397147.47,EUR,2016-05-12
P624153,128,Balanced Growth Portfolio,740673.74,USD,2022-10-24
P311857,129,Balanced Growth Portfolio,241674.53,CHF,2015-08-30
P406675,129,Global Diversification Portfolio,435050.66,CHF,2017-07-21
P146669,130,Global Diversification Portfolio,484189.57,CHF,2024-02-01
P513181,130,High-Yield Income Portfolio,826316.26,USD,2018-11-01
P401540,131,High-Yield Income Portfolio,854564.29,CHF,2017-12-08
P806516,132,Global Diversification Portfolio,191824.79,CHF,2020-04-25
P933092,132,Global Diversification Portfolio,284485.4,EUR,2023-11-01
P877896,132,Global Diversification Portfolio,685113.86,USD,2021-08-13
P583856,133,Global Diversification Portfolio,280604.19,EUR,2017-02-27
P704792,134,High-Yield Income Portfolio,811502.11,CHF,2024-04-13
P900428,135,Conservative Wealth Plan Portfolio,325235.95,CHF,2024-06-18
P232444,135,Conservative Wealth Plan Portfolio,730619.76,CHF,2024-02-14
P924608,135,High-Yield Income Portfolio,792214.02,CHF,2016-11-20
P793677,136,Conservative Wealth Plan Portfolio,212760.97,CHF,2022-03-01
P657473,137,Dynamic Opportunities Portfolio,244089.29,EUR,2017-08-18
P713725,138,Conservative Wealth Plan Portfolio,869364.6,CHF,2019-02-07
P583098,138,Sustainable Investment Portfolio,760881.76,USD,2020-04-23
P496085,139,High-Yield Income Portfolio,133031.51,CHF,2016-08-27
P459314,139,Global Diversification Portfolio,439563.74,EUR,2015-08-10
P783124,139,Sustainable Investment Portfolio,417249.95,USD,2017-08-20
P375378,140,Conservative Wealth Plan Portfolio,329280.57,USD,2023-09-08
P540498,141,High-Yield Income Portfolio,308443.87,USD,2017-02-24
P608505,141,Conservative Wealth Plan Portfolio,362544.49,EUR,2023-01-15
P804766,141,Dynamic Opportunities Portfolio,397742.43,EUR,2016-07-04
P482178,142,Sustainable Investment Portfolio,146422.24,EUR,2016-11-30
P962757,142,Global Diversification Portfolio,909244.8,USD,2024-10-09
P749666,142,Dynamic Opportunities Portfolio,586451.66,USD,2018-05-02
P270866,143,Global Diversification Portfolio,132497.65,EUR,2022-05-24
P136846,144,Conservative Wealth Plan Portfolio,67638.98,USD,2018-04-05
P927085,144,Balanced Growth Portfolio,317008.2,CHF,2015-12-22
P932970,145,High-Yield Income Portfolio,770936.24,USD,2019-11-29
P790829,146,Sustainable Investment Portfolio,336424.57,USD,2017-05-01
P516882,146,Conservative Wealth Plan Portfolio,426232.69,USD,2020-01-24
P101128,147,Conservative Wealth Plan Portfolio,680963.69,EUR,2018-07-19
P907533,147,Balanced Growth Portfolio,440134.22,USD,2017-06-09
P236212,147,Dynamic Opportunities Portfolio,628150.23,CHF,2020-03-18
P468677,148,Sustainable Investment Portfolio,868393.82,USD,2022-08-12
P418492,148,Global Diversification Portfolio,889172.26,USD,2021-04-10
P143700,149,Balanced Growth Portfolio,308391.13,CHF,2015-07-17
P931962,149,Conservative Wealth Plan Portfolio,763813.85,USD,2019-08-24
P400814,149,Global Diversification Portfolio,297525.85,EUR,2018-03-29
P968324,150,Balanced Growth Portfolio,204185.21,CHF,2019-04-21
P907044,151,Sustainable Investment Portfolio,214505.71,USD,2020-12-07
P180555,151,Conservative Wealth Plan Portfolio,494525.7,EUR,2021-12-05
P937886,152,Balanced Growth Portfolio,62336.95,CHF,2020-10-17
P503307,153,Global Diversification Portfolio,952391.41,USD,2023-03-31
P933138,153,High-Yield Income Portfolio,191164.44,USD,2022-04-25
P750345,153,Global Diversification Portfolio,696602.51,CHF,2022-09-28
P777070,154,High-Yield Income Portfolio,410733.08,EUR,2022-02-06
P465212,155,Balanced Growth Portfolio,530812.49,EUR,2017-03-04
P810942,155,Balanced Growth Portfolio,953862.04,EUR,2022-08-12
P491319,155,Conservative Wealth Plan Portfolio,894059.15,USD,2022-01-01
P229294,156,Balanced Growth Portfolio,429555.11,USD,2020-02-09
P104300,156,Sustainable Investment Portfolio,759510.93,USD,2023-03-29
P438665,156,Sustainable Investment Portfolio,170124.94,CHF,2016-09-18
P750098,157,High-Yield Income Portfolio,553063.79,USD,2015-03-11
P631680,157,Sustainable Investment Portfolio,745223.19,USD,2015-09-12
P806403,158,Sustainable Investment Portfolio,888220.11,USD,2015-04-08
P214236,158,Balanced Growth Portfolio,599567.35,USD,2018-10-23
P253458,158,Balanced Growth Portfolio,503820.02,USD,2020-04-21
P766248,159,Conservative Wealth Plan Portfolio,521400.34,EUR,2021-04-03
P746809,160,High-Yield Income Portfolio,755677.14,EUR,2019-04-11
P227313,161,Conservative Wealth Plan Portfolio,914471.01,EUR,2016-05-08
P339265,162,Dynamic Opportunities Portfolio,445395.71,CHF,2017-07-17
P634257,163,Balanced Growth Portfolio,949630.92,EUR,2015-05-27
P955566,163,Dynamic Opportunities Portfolio,991731.48,CHF,2021-04-26
P306242,163,Balanced Growth Portfolio,540248.04,CHF,2022-01-21
P498636,164,High-Yield Income Portfolio,198044.25,USD,2015-11-26
P710691,165,Balanced Growth Portfolio,556073.86,EUR,2015-05-27
P624285,166,High-Yield Income Portfolio,287407.69,USD,2024-09-10
P971711,167,Conservative Wealth Plan Portfolio,249704.51,CHF,2019-01-23
P572538,168,Global Diversification Portfolio,599224.09,USD,2015-12-02
P180973,168,Sustainable Investment Portfolio,675838.64,EUR,2023-11-19
P280548,169,Sustainable Investment Portfolio,264741.29,CHF,2015-07-06
P625207,169,Balanced Growth Portfolio,845263.51,CHF,2022-09-28
P185769,170,Global Diversification Portfolio,542796.88,EUR,2022-12-31
P929607,170,Conservative Wealth Plan Portfolio,645565.58,USD,2018-04-24
P143341,170,Dynamic Opportunities Portfolio,789018.69,EUR,2022-10-06
P385911,171,Global Diversification Portfolio,915986.29,CHF,2021-03-29
P153649,171,Dynamic Opportunities Portfolio,713596.48,EUR,2019-06-16
P234311,171,Dynamic Opportunities Portfolio,733796.18,USD,2018-12-07
P337495,172,Sustainable Investment Portfolio,368791.44,USD,2022-08-29
P160913,173,Sustainable Investment Portfolio,265927.77,CHF,2024-05-20
P710404,173,Sustainable Investment Portfolio,819680.61,EUR,2015-01-26
P443996,173,Dynamic Opportunities Portfolio,903379.76,CHF,2019-02-20
P437821,174,Dynamic Opportunities Portfolio,814187.54,EUR,2020-04-05
P562867,174,High-Yield Income Portfolio,960059.71,USD,2016-04-11
P685786,175,Balanced Growth Portfolio,439954.08,CHF,2019-02-21
P237404,175,Global Diversification Portfolio,601553.55,CHF,2023-03-08
P962913,175,Sustainable Investment Portfolio,154591.44,EUR,2015-02-11
P773109,176,Global Diversification Portfolio,260490.44,USD,2017-08-11
P411989,177,Global Diversification Portfolio,457873.48,CHF,2019-02-01
P753295,177,Balanced Growth Portfolio,628470.2,USD,2016-07-20
P701727,178,Dynamic Opportunities Portfolio,962634.69,CHF,2015-12-10
P523834,179,Dynamic Opportunities Portfolio,102478.82,USD,2017-10-14
P818206,179,Balanced Growth Portfolio,199165.51,USD,2021-05-26
P797145,180,Conservative Wealth Plan Portfolio,354602.53,CHF,2016-07-06
P766615,180,Global Diversification Portfolio,137549.93,CHF,2024-01-28
P265608,181,Sustainable Investment Portfolio,110347.01,USD,2017-06-22
P230382,181,Sustainable Investment Portfolio,315834.1,CHF,2016-04-14
P347045,181,High-Yield Income Portfolio,977556.14,USD,2019-09-19
P592465,182,Global Diversification Portfolio,964817.46,USD,2017-05-14
P246293,182,High-Yield Income Portfolio,935288.33,EUR,2024-06-29
P676247,182,Sustainable Investment Portfolio,713707.29,EUR,2019-07-25
P181817,183,Sustainable Investment Portfolio,457857.38,EUR,2015-07-06
P234333,183,Balanced Growth Portfolio,890985.74,CHF,2018-06-07
P466244,184,Dynamic Opportunities Portfolio,772087.54,EUR,2022-08-14
P912003,185,Conservative Wealth Plan Portfolio,253610.9,CHF,2022-04-28
P129260,186,Dynamic Opportunities Portfolio,898107.22,USD,2020-03-16
P880242,187,Global Diversification Portfolio,453444.74,USD,2020-01-07
P494192,187,Balanced Growth Portfolio,701926.69,CHF,2015-11-09
P124517,187,Global Diversification Portfolio,158889.14,USD,2018-10-21
P776438,188,Sustainable Investment Portfolio,195101.01,USD,2018-01-11
P852615,189,Dynamic Opportunities Portfolio,225353.43,EUR,2015-12-17
P643889,189,Sustainable Investment Portfolio,312460.1,CHF,2024-01-11
P825845,189,Balanced Growth Portfolio,826010.13,USD,2023-04-20
P871114,190,Conservative Wealth Plan Portfolio,96592.01,CHF,2024-02-22
P598469,190,Balanced Growth Portfolio,509446.68,CHF,2015-05-27
P418013,190,Global Diversification Portfolio,895562.53,USD,2018-07-09
P554100,191,Dynamic Opportunities Portfolio,906707.85,CHF,2017-05-04
P386231,191,Global Diversification Portfolio,810338.85,CHF,2020-09-06
P628985,192,Balanced Growth Portfolio,153517.56,USD,2017-02-24
P865715,193,Conservative Wealth Plan Portfolio,924758.1,EUR,2019-06-17
P140795,194,Conservative Wealth Plan Portfolio,808021.45,EUR,2021-03-19
P912509,195,Balanced Growth Portfolio,360101.17,USD,2023-02-12
P836552,195,Sustainable Investment Portfolio,910741.06,CHF,2020-10-05
P886876,196,Global Diversification Portfolio,301267.33,EUR,2018-07-01
P439033,197,Dynamic Opportunities Portfolio,194335.25,CHF,2016-09-29
P142946,197,Dynamic Opportunities Portfolio,490185.72,USD,2016-12-15
P425733,198,Balanced Growth Portfolio,113322.71,CHF,2019-05-24
